Página do dashboard,Cartão / gráfico,Tipo,Itens considerados,Itens descartados,% considerados,Regra / critério de inclusão,Campos ausentes / causa do descarte,Fonte,Status da mensuração,Dash Kids,Reumo Executivo,Observações
Jornada e onboarding,Mediana onboarding total,Cartão,340,3075,"10,00%",Mediana dos intervalos não negativos na coorte comparável.,data_inicio_ciclo/created_at e primeiro marco reunião/financeiro,data_inicio_ciclo/created_at e primeiro marco reunião/financeiro,Calculável,Avaliar,,
Jornada e onboarding,Mediana até 1ª reunião,Cartão,340,3075,"10,00%",Mediana dos intervalos não negativos na coorte comparável.,data_inicio_ciclo/created_at e client_meetings.start_time,data_inicio_ciclo/created_at e client_meetings.start_time,Calculável,Avaliar,,
Jornada e onboarding,Mediana até entrega do plano,Cartão,340,3075,"10,00%",Mediana dos intervalos não negativos na coorte comparável.,data_inicio_ciclo/created_at e reunião Central de Inteligência,data_inicio_ciclo/created_at e reunião Central de Inteligência,Calculável,Avaliar,,
Jornada e onboarding,Mediana até 1º mecanismo,Cartão,90,3325,"2,60%",Mediana dos intervalos não negativos na coorte comparável.,data_inicio_ciclo/created_at e client_mecanismos.implemented_at/status,data_inicio_ciclo/created_at e client_mecanismos.implemented_at/status,Calculável,Avaliar,,
Jornada e onboarding,Concluíram onboarding,Cartão,3410,5,"99,90%",Classificação de conclusão entre clientes avaliáveis.,"client_journeys.current_stage_id, primeira reunião ou client_financial_data","client_journeys.current_stage_id, primeira reunião ou client_financial_data",Calculável,Avaliar,,
Jornada e onboarding,Dias até a primeira reunião,Gráfico,340,3075,"10,00%",Distribuição da mesma amostra do cartão correspondente.,Campos de data/marco usados pelo indicador correspondente.,clients + client_meetings + client_financial_data + client_mecanismos + client_journeys,Calculável,Avaliar,,
Jornada e onboarding,Dias até entrega do plano patrimonial,Gráfico,340,3075,"10,00%",Distribuição da mesma amostra do cartão correspondente.,Campos de data/marco usados pelo indicador correspondente.,clients + client_meetings + client_financial_data + client_mecanismos + client_journeys,Calculável,Avaliar,,
Jornada e onboarding,Dias até primeiro mecanismo implementado,Gráfico,90,3325,"2,60%",Distribuição da mesma amostra do cartão correspondente.,Campos de data/marco usados pelo indicador correspondente.,clients + client_meetings + client_financial_data + client_mecanismos + client_journeys,Calculável,Recomendação: Não Levar,,"Com o preenchimento retroativo dos dados, pode impactar no cálculo da média"
Jornada e onboarding,Tempo total de onboarding,Gráfico,340,3075,"10,00%",Distribuição da mesma amostra do cartão correspondente.,Campos de data/marco usados pelo indicador correspondente.,clients + client_meetings + client_financial_data + client_mecanismos + client_journeys,Calculável,Sim,,
Jornada e onboarding,Concluiu onboarding,Gráfico,3410,5,"99,90%",Distribuição da mesma amostra do cartão correspondente.,Campos de data/marco usados pelo indicador correspondente.,clients + client_meetings + client_financial_data + client_mecanismos + client_journeys,Calculável,Sim,,
Reuniões,Total de reuniões,Cartão,6302,509,"92,50%",Reuniões válidas; pré-entrada excluídas.,entryDate/start_time,client_meetings + manual_meetings + meeting_attendance,Calculável,Sim,,
Reuniões,Média de reuniões/mês,Cartão,6302,509,"92,50%",Volume válido dividido pelo período observado.,start_time/entryDate,client_meetings + manual_meetings + meeting_attendance,Calculável,Sim,,
Reuniões,Dias desde a última reunião,Cartão,,,,Hoje menos a última reunião válida.,client_meetings.start_time,client_meetings + manual_meetings + meeting_attendance,Calculável,Sim,,
Reuniões,Intervalo médio entre reuniões,Cartão,,,,Média dos gaps positivos entre reuniões consecutivas com presença.,start_time + meeting_attendance.status,client_meetings + manual_meetings + meeting_attendance,Calculável,Sim,,
Reuniões,Total de no-shows,Cartão,5727,575,"90,90%",No-show entre reuniões elegíveis.,meeting_attendance.status,client_meetings + manual_meetings + meeting_attendance,Calculável,Sim,,
Reuniões,Remarcações,Cartão,6302,509,"92,50%",Contagem de remarcado nos eventos válidos.,meeting_attendance.remarcado,client_meetings + manual_meetings + meeting_attendance,Calculável,Sim,,
Reuniões,Taxa de comparecimento,Cartão,5727,575,"90,90%",1 − no-shows/elegíveis.,meeting_attendance.status,client_meetings + manual_meetings + meeting_attendance,Calculável,Sim,,
Reuniões,Clientes com reunião,Cartão,3415,1478,"43,28%",Classifica a carteira por presença de reunião válida.,client_meetings/manual_meetings,client_meetings + manual_meetings + meeting_attendance,Calculável,Avaliar,,Clientes sem registros de reunião 
Reuniões,Reuniões por mês,Gráfico,6302,509,"92,50%",Distribuição da amostra válida do indicador.,"Data, vínculo do cliente e presença quando aplicável.",BASE QV reuniões,Calculável,Sim,,
Reuniões,Status das reuniões,Gráfico,6302,509,"92,50%",Distribuição da amostra válida do indicador.,"Data, vínculo do cliente e presença quando aplicável.",BASE QV reuniões,Calculável,Sim,,
Reuniões,Frequência por cliente,Gráfico,3415,0,"44,00%",Distribuição da amostra válida do indicador.,"Data, vínculo do cliente e presença quando aplicável.",BASE QV reuniões,Calculável,Avaliar,,
Reuniões,Dias desde a última reunião,Gráfico,1481,1934,"43,40%",Distribuição da amostra válida do indicador.,"Data, vínculo do cliente e presença quando aplicável.",BASE QV reuniões,Calculável,Avaliar,,
Reuniões,Intervalo médio entre reuniões,Gráfico,678,2737,"19,90%",Distribuição da amostra válida do indicador.,"Data, vínculo do cliente e presença quando aplicável.",BASE QV reuniões,Calculável,Sim,,"Se tratando de média, temos uma boa amostragem"
Reuniões,Frequência de no-show por cliente,Gráfico,3415,1478,"43,28%",Distribuição da amostra válida do indicador.,"Data, vínculo do cliente e presença quando aplicável.",BASE QV reuniões,Calculável,Avaliar,,"Número pode ter distorção, caso o EP não marcou no-show no app"
Reuniões,Reuniões por tipo,Gráfico,26463,11259,"70,20%",Distribuição da amostra válida do indicador.,"event_uuid, group_name e tipo do evento no Business Data.",Business Data Agendamentos.calendly_eventos,Calculável,Sim,,Considerando direto do Caledly - confiável 
Reuniões,Reuniões por Engenheiro Patrimonial,Gráfico,6302,509,"92,50%",Distribuição da amostra válida do indicador.,"Data, vínculo do cliente e presença quando aplicável.",BASE QV reuniões,Calculável,Sim,,
Plano Patrimonial,Plano aprovado,Cartão,401,3015,"11,70%",Proxy por reunião Central de Inteligência.,client_meetings.event_name Central de Inteligência (proxy),public.clients + public.client_meetings,Calculável,Recomendação: Não Levar,,
Plano Patrimonial,Dias até aprovação,Cartão,375,3041,"11,00%",Média de intervalos não negativos contratação → última reunião Central.,data de contratação e data da reunião Central,public.clients + public.client_meetings,Calculável,Sim,,"Se tratando de média, temos uma boa amostragem"
Plano Patrimonial,Status do plano,Gráfico,401,3015,"11,70%",Distribuição por presença/revisão de reunião Central.,client_meetings.event_name e datas da reunião.,public.client_meetings,Calculável,Recomendação: Não Levar,,
Implementação de Mecanismos,Clientes com mecanismos — BASE QV,Cartão,93,3322,"2,70%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,client_mecanismos.client_id/mecanismo_id e data/status de implementação.,public.client_mecanismos + public.mecanismos,Calculável,Sim,,"Levar para mostrar o tamanho do ""buraco"""
Implementação de Mecanismos,Tipos de mecanismos,Cartão,14,5,"73,70%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,"mecanismo_id, client_id, status e catálogo mecanismos.",public.client_mecanismos + public.mecanismos,Calculável,Sim,,
Implementação de Mecanismos,Tipos sem utilização,Cartão,19,0,"100,00%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,"mecanismo_id, client_id, status e catálogo mecanismos.",public.client_mecanismos + public.mecanismos,Calculável,Sim,,
Implementação de Mecanismos,Mecanismo mais utilizado,Cartão,313,0,"100,00%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,"mecanismo_id, client_id, status e catálogo mecanismos.",public.client_mecanismos + public.mecanismos,Calculável,Sim,,"Levar para mostrar o tamanho do ""buraco"""
Implementação de Mecanismos,Mecanismos implementados,Cartão,313,0,"100,00%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,"mecanismo_id, client_id, status e catálogo mecanismos.",public.client_mecanismos + public.mecanismos,Calculável,Sim,,"Levar para mostrar o tamanho do ""buraco"""
Implementação de Mecanismos,Em andamento,Cartão,313,0,"100,00%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,"mecanismo_id, client_id, status e catálogo mecanismos.",public.client_mecanismos + public.mecanismos,Calculável,Sim,,"Levar para mostrar o tamanho do ""buraco"""
Implementação de Mecanismos,Percentual implementado,Cartão,313,0,"100,00%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,"mecanismo_id, client_id, status e catálogo mecanismos.",public.client_mecanismos + public.mecanismos,Calculável,Sim,,"Levar para mostrar o tamanho do ""buraco"""
Implementação de Mecanismos,Tempo médio até a primeira implementação,Cartão,68,3347,"2,00%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,client_mecanismos.client_id/mecanismo_id e data/status de implementação.,public.client_mecanismos + public.mecanismos,Calculável,Recomendação: Não Levar,,Verificar com o Cadu para ajustar o BaseQV para ter essa informação
Implementação de Mecanismos,Clientes com implementação recente,Cartão,93,3322,"2,70%",Deduplicação por client_id + mecanismo_id; status define andamento/conclusão.,client_mecanismos.client_id/mecanismo_id e data/status de implementação.,public.client_mecanismos + public.mecanismos,Calculável,Sim,,"Número pode ter distorção, preenchimento retroativo dos dados de mecanismos"
Implementação de Mecanismos,Status dos vínculos,Gráfico,313,0,"100,00%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Sim,,
Implementação de Mecanismos,Quantidade de mecanismos por cliente,Gráfico,93,3322,"2,70%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Sim,,
Implementação de Mecanismos,Cobertura do catálogo,Gráfico,19,0,"100,00%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Sim,,
Implementação de Mecanismos,Utilização por tipo de mecanismo,Gráfico,313,0,"100,00%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Sim,,
Implementação de Mecanismos,Implementações por mês,Gráfico,166,147,"53,00%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Sim,,"Número pode ter distorção, preenchimento retroativo dos dados de mecanismos"
Implementação de Mecanismos,Tempo até a primeira implementação,Gráfico,68,3347,"2,00%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Recomendação: Não Levar,,
Implementação de Mecanismos,Dias desde a última implementação,Gráfico,70,3345,"2,00%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Recomendação: Não Levar,,
Implementação de Mecanismos,Implementados por segmento,Gráfico,166,147,"53,00%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Sim,,
Implementação de Mecanismos,Clientes com mecanismo implementado por EP,Gráfico,3214,201,"94,10%",Distribuição dos vínculos deduplicados e campos válidos.,"client_id, mecanismo_id, status, implemented_at e dimensão do gráfico.",public.client_mecanismos + public.mecanismos + public.clients,Calculável,Sim,,"Número pode ter distorção, preenchimento retroativo dos dados de mecanismos"
Atualização Financeira,Clientes com dados financeiros,Cartão,3039,376,"89,00%",Registro financeiro relacionado.,client_financial_data.client_id,public.client_financial_data + public.client_meetings,Calculável,Sim,,
Atualização Financeira,Clientes com registro alterado após a criação,Cartão,2019,1020,"66,40%",updated_at > created_at.,created_at/updated_at,public.client_financial_data + public.client_meetings,Calculável,Sim,,
Atualização Financeira,Recência média da atualização,Cartão,2019,1020,"66,40%",Mediana de dias desde update válido.,created_at/updated_at,public.client_financial_data + public.client_meetings,Calculável,Sim,,
Atualização Financeira,Clientes com dados desatualizados,Cartão,2019,1020,"66,40%",Update válido; cartão conta recência >90 dias.,created_at/updated_at,public.client_financial_data + public.client_meetings,Calculável,Sim,,
Atualização Financeira,Tempo até ativação das engrenagens,Cartão,377,70,"84,30%",Intervalos não negativos entre primeiro financeiro e primeira reunião posterior.,client_financial_data.created_at + client_meetings.start_time/event_name,public.client_financial_data + public.client_meetings,Calculável,Sim,,
Atualização Financeira,Atualizações financeiras por mês,Gráfico,2019,1020,"66,40%",Distribuição dos registros/valores válidos.,"client_financial_data.created_at, updated_at e campos financeiros.",public.client_financial_data + public.clients,Calculável,Sim,,
Atualização Financeira,Cobertura dos campos financeiros,Gráfico,17700,2790,"86,40%",Distribuição dos registros/valores válidos.,"client_financial_data.created_at, updated_at e campos financeiros.",public.client_financial_data + public.clients,Calculável,Sim,,
Atualização Financeira,Atualização por Engenheiro Patrimonial,Gráfico,2987,52,"98,30%",Distribuição dos registros/valores válidos.,clients.engenheiro_patrimonial.,public.client_financial_data + public.clients,Calculável,Sim,,
Pesquisa de Satisfação,NPS,Cartão,106,273,"28,00%",NPS = % promotores − % detratores.,nps_responses.score ou resposta ausente,public.nps_responses + public.nps_sends + public.csat_responses,Calculável,Sim,,"Nesse caso, o descarte é porque existe valores duplicados de resposta por cliente"
Pesquisa de Satisfação,Data do NPS,Cartão,106,273,"28,00%",Maior created_at entre respostas.,nps_responses.created_at,public.nps_responses + public.nps_sends + public.csat_responses,Calculável,Sim,,"Nesse caso, o descarte é porque existe valores duplicados de resposta por cliente"
Pesquisa de Satisfação,Respostas de NPS,Cartão,106,273,"28,00%",Respostas deduplicadas por response id.,score/response_id,public.nps_responses + public.nps_sends + public.csat_responses,Calculável,Sim,,"Nesse caso, o descarte é porque existe valores duplicados de resposta por cliente"
Pesquisa de Satisfação,Último NPS,Cartão,106,273,"28,00%",Score da última resposta global.,score/created_at,public.nps_responses + public.nps_sends + public.csat_responses,Calculável,Sim,,"Nesse caso, o descarte é porque existe valores duplicados de resposta por cliente"
Pesquisa de Satisfação,CSAT médio,Cartão,145,0,"100,00%",Média de score CSAT (1–5).,csat_responses.score/tipo_de_forms; total de envios não disponível,public.nps_responses + public.nps_sends + public.csat_responses,Denominador indisponível,Sim,,
Pesquisa de Satisfação,CSAT satisfeitos,Cartão,145,0,"100,00%",Nota 5 ÷ respostas CSAT.,csat_responses.score; total de envios não disponível,public.nps_responses + public.nps_sends + public.csat_responses,Denominador indisponível,Sim,,
Pesquisa de Satisfação,CES,Cartão,0,3415,"0,00%",Sem campo estruturado.,Tabela/campo CES ausente,public.nps_responses + public.nps_sends + public.csat_responses,Não calculável,Não,,Não existem dados
Pesquisa de Satisfação,Clientes com feedback,Cartão,223,3192,"6,50%",Cliente vinculado a NPS ou CSAT.,client_id/e-mail sem vínculo ou sem resposta,public.nps_responses + public.nps_sends + public.csat_responses,Calculável,Sim,,
Cancelamento,Cancelamentos efetivados,Cartão,503,173,"74,40%",Regra analítica consolidada.,churn_efetivado_at/distrato/data_churn,public.cancellations + public.clients + fontes auxiliares,Calculável,Sim,,Equalizar o número de cancelamentoscom a página Dados Gerais do cliente
Cancelamento,Intenções/pedidos de cancelamento,Cartão,256,420,"37,90%",Evidência de entrada no processo.,intencao_registrada_at/data_pedido/status,public.cancellations + public.clients + fontes auxiliares,Calculável,Avaliar - mas levar,,"Estão no processo, mas sem evidência de intenção/pedido (intencao_registrada_at / data_pedido / status)"
Cancelamento,Clientes em processo de cancelamento,Cartão,173,503,"25,60%",Intenção/pedido sem efetivação.,datas/status de processo,public.cancellations + public.clients + fontes auxiliares,Calculável,Sim,,
Cancelamento,Tempo médio do processo,Cartão,173,503,"25,60%",Dias de entrada até hoje para processos abertos.,data_pedido/intencao_registrada_at,public.cancellations + public.clients + fontes auxiliares,Calculável,Recomendação: Não Levar,,"Pouca cobertura, e Ana sinalizou que o tempo não está coerente com a realidade"
Cancelamento,Casos críticos,Cartão,676,0,"100,00%",Classificação booleana.,is_critical,public.cancellations + public.clients + fontes auxiliares,Calculável,Sim,,
Cancelamento,Sem responsável,Cartão,676,0,"100,00%",Responsável preenchido.,responsavel_name,public.cancellations + public.clients + fontes auxiliares,Calculável,Sim,,
Cancelamento,Arquivados,Cartão,210,0,"100,00%",Linhas com archived_at preenchido.,archived_at,public.cancellations + public.clients + fontes auxiliares,Calculável,Sim,,
Cancelamento,Quantidade de não renovações,Cartão,495,8,"98,40%",Cancelamento e fim de ciclo comparáveis.,cancellationDate + clients.data_fim_ciclo,public.cancellations + public.clients + fontes auxiliares,Calculável,Sim,,
Cancelamento,Cancelamentos antes do fim do ciclo,Cartão,495,8,"98,40%",Cancelamento e fim de ciclo comparáveis.,cancellationDate + clients.data_fim_ciclo,public.cancellations + public.clients + fontes auxiliares,Calculável,Sim,,
Cancelamento,Status das linhas não arquivadas (BASE QV),Gráfico,416,210,"66,50%",Distribuição dos registros válidos na dimensão do gráfico.,status e datas do processo.,public.cancellations + public.clients,Calculável,Sim,,
Cancelamento,Destino das intenções e pedidos,Gráfico,676,0,"100,00%",Distribuição dos registros válidos na dimensão do gráfico.,status e datas do processo.,public.cancellations + public.clients,Calculável,Sim,,
Cancelamento,Etapa mais avançada do processo,Gráfico,676,0,"100,00%",Distribuição dos registros válidos na dimensão do gráfico.,status e datas do processo.,public.cancellations + public.clients,Calculável,Sim,,
Cancelamento,Estágio do cliente,Gráfico,658,18,"97,30%",Distribuição dos registros válidos na dimensão do gráfico.,status e datas do processo.,public.cancellations + public.clients,Calculável,Sim,,
Cancelamento,Motivos por categoria,Gráfico,644,32,"95,30%",Distribuição dos registros válidos na dimensão do gráfico.,motivo/categoria/data analítica.,public.cancellations + public.clients,Calculável,Sim,,
Cancelamento,Principais motivos por semestre,Gráfico,491,12,"97,60%",Distribuição dos registros válidos na dimensão do gráfico.,status e datas do processo.,public.cancellations + public.clients,Calculável,Sim,,"Apesar de grande cobertura, prevalece Outros Motivos"
Cancelamento,Intenções e cancelamentos efetivados por mês,Gráfico,753,6,"99,20%",Distribuição dos registros válidos na dimensão do gráfico.,status e datas do processo.,public.cancellations + public.clients,Calculável,Sim,,
Cancelamento,Efetivados por EP,Gráfico,501,2,"99,60%",Distribuição dos registros válidos na dimensão do gráfico.,clients.engenheiro_patrimonial.,public.cancellations + public.clients,Calculável,Sim,,
Cancelamento,Efetivados por segmento,Gráfico,481,22,"95,60%",Distribuição dos registros válidos na dimensão do gráfico.,dados financeiros para segmentação.,public.cancellations + public.clients,Calculável,Sim,,
Renovação,Renovaram,Cartão,3378,37,"98,90%",ciclo > 1.,"public.clients.ciclo nulo, zero ou inválido.",public.clients.ciclo,Calculável,Sim,,
Renovação,Quantidade de renovações,Cartão,3378,37,"98,90%","Soma max(ciclo−1,0).","public.clients.ciclo nulo, zero ou inválido.",public.clients.ciclo,Calculável,Sim,,
Renovação,Maior ciclo atual,Cartão,3378,37,"98,90%",Máximo ciclo válido.,"public.clients.ciclo nulo, zero ou inválido.",public.clients.ciclo,Calculável,Sim,,
Renovação,Tempo até renovação,Cartão,0,3415,"0,00%",Sem regra/fonte implementada.,Fim do ciclo anterior e data real do evento de renovação.,Fonte inexistente,Não calculável,Não,,Não existem dados
Renovação,Renovou no prazo?,Cartão,0,3415,"0,00%",Sem regra/fonte implementada.,Fim do ciclo anterior e data real do evento de renovação.,Fonte inexistente,Não calculável,Não,,Não existem dados
Renovação,Valor da renovação,Cartão,0,3415,"0,00%",Sem regra/fonte implementada.,Tabela de eventos/contratos com renewal_amount.,Fonte inexistente,Não calculável,Não,,Não existem dados
Renovação,Renovou?,Gráfico,3378,37,"98,90%",Distribuição de ciclo válido; renovado = ciclo > 1.,clients.ciclo,public.clients,Calculável,Sim,,
Renovação,Quantidade de renovações,Gráfico,3378,37,"98,90%",Distribuição de ciclo válido; renovado = ciclo > 1.,clients.ciclo,public.clients,Calculável,Sim,,
Renovação,Renovados por EP,Gráfico,3181,234,"93,10%",Distribuição de ciclo válido; renovado = ciclo > 1.,clients.ciclo + engenheiro_patrimonial,public.clients,Calculável,Sim,,
